,year,state_short,state_long,indicator,value
13,1984,AK,Alaska,Bachelor Total,108
14,1984,AK,Alaska,Elementary Total,89
15,1984,AK,Alaska,Masters Total,113
16,1984,AK,Alaska,Other Total,131
17,1984,AK,Alaska,PhD Total,0
18,1984,AK,Alaska,SPED Total,0
19,1984,AK,Alaska,State Total,221
20,1984,AK,Alaska,STEM Total,1
34,1984,AL,Alabama,Bachelor Total,1721
35,1984,AL,Alabama,Elementary Total,1261
36,1984,AL,Alabama,Masters Total,1474
37,1984,AL,Alabama,Other Total,1427
38,1984,AL,Alabama,PhD Total,108
39,1984,AL,Alabama,SPED Total,395
40,1984,AL,Alabama,State Total,3303
41,1984,AL,Alabama,STEM Total,220
55,1984,AR,Arkansas,Bachelor Total,1645
56,1984,AR,Arkansas,Elementary Total,963
57,1984,AR,Arkansas,Masters Total,795
58,1984,AR,Arkansas,Other Total,1118
59,1984,AR,Arkansas,PhD Total,36
60,1984,AR,Arkansas,SPED Total,249
61,1984,AR,Arkansas,State Total,2476
62,1984,AR,Arkansas,STEM Total,146
76,1984,AZ,Arizona,Bachelor Total,1144
77,1984,AZ,Arizona,Elementary Total,750
78,1984,AZ,Arizona,Masters Total,1210
79,1984,AZ,Arizona,Other Total,1393
80,1984,AZ,Arizona,PhD Total,113
81,1984,AZ,Arizona,SPED Total,250
82,1984,AZ,Arizona,State Total,2467
83,1984,AZ,Arizona,STEM Total,74
97,1984,CA, California,Bachelor Total,2724
98,1984,CA, California,Elementary Total,959
99,1984,CA, California,Masters Total,6114
100,1984,CA, California,Other Total,7473
101,1984,CA, California,PhD Total,483
102,1984,CA, California,SPED Total,344
103,1984,CA, California,State Total,9321
104,1984,CA, California,STEM Total,545
118,1984,CO,Colorado,Bachelor Total,1029
119,1984,CO,Colorado,Elementary Total,507
120,1984,CO,Colorado,Masters Total,883
121,1984,CO,Colorado,Other Total,1080
122,1984,CO,Colorado,PhD Total,130
123,1984,CO,Colorado,SPED Total,281
124,1984,CO,Colorado,State Total,2042
125,1984,CO,Colorado,STEM Total,174
139,1984,CT,Connecticut,Bachelor Total,835
