year,state_short,state_long,indicator,value
1984,AK,Alaska,elem ba,84
1984,AK,Alaska,other ba,24
1984,AK,Alaska,sped ba,0
1984,AK,Alaska,stem ba,0
1984,AK,Alaska,elem ma,5
1984,AK,Alaska,other ma,107
1984,AK,Alaska,sped ma,0
1984,AK,Alaska,stem ma,1
1984,AK,Alaska,elem phd,0
1984,AK,Alaska,other phd,0
1984,AK,Alaska,sped phd,0
1984,AK,Alaska,stem phd,0
1984,AK,Alaska,agg total,177371
1984,AK,Alaska,ba total,108
1984,AK,Alaska,elem total,89
1984,AK,Alaska,ma total,113
1984,AK,Alaska,other total,131
1984,AK,Alaska,phd total,0
1984,AK,Alaska,sped total,0
1984,AK,Alaska,state total,221
1984,AK,Alaska,stem total,1
1984,AL,Alabama,elem ba,739
1984,AL,Alabama,other ba,683
1984,AL,Alabama,sped ba,179
1984,AL,Alabama,stem ba,120
1984,AL,Alabama,elem ma,515
1984,AL,Alabama,other ma,656
1984,AL,Alabama,sped ma,209
1984,AL,Alabama,stem ma,94
1984,AL,Alabama,elem phd,7
1984,AL,Alabama,other phd,88
1984,AL,Alabama,sped phd,7
1984,AL,Alabama,stem phd,6
1984,AL,Alabama,agg total,177371
1984,AL,Alabama,ba total,1721
1984,AL,Alabama,elem total,1261
1984,AL,Alabama,ma total,1474
1984,AL,Alabama,other total,1427
1984,AL,Alabama,phd total,108
1984,AL,Alabama,sped total,395
1984,AL,Alabama,state total,3303
1984,AL,Alabama,stem total,220
1984,AR,Arkansas,elem ba,748
1984,AR,Arkansas,other ba,689
1984,AR,Arkansas,sped ba,136
1984,AR,Arkansas,stem ba,72
1984,AR,Arkansas,elem ma,215
1984,AR,Arkansas,other ma,393
1984,AR,Arkansas,sped ma,113
1984,AR,Arkansas,stem ma,74
1984,AR,Arkansas,elem phd,0
1984,AR,Arkansas,other phd,36
1984,AR,Arkansas,sped phd,0
1984,AR,Arkansas,stem phd,0
1984,AR,Arkansas,agg total,177371
1984,AR,Arkansas,ba total,1645
1984,AR,Arkansas,elem total,963
1984,AR,Arkansas,ma total,795
1984,AR,Arkansas,other total,1118
1984,AR,Arkansas,phd total,36
1984,AR,Arkansas,sped total,249
1984,AR,Arkansas,state total,2476
1984,AR,Arkansas,stem total,146
1984,AZ,Arizona,elem ba,567
1984,AZ,Arizona,other ba,389
1984,AZ,Arizona,sped ba,126
1984,AZ,Arizona,stem ba,62
1984,AZ,Arizona,elem ma,172
1984,AZ,Arizona,other ma,909
1984,AZ,Arizona,sped ma,117
1984,AZ,Arizona,stem ma,12
1984,AZ,Arizona,elem phd,11
1984,AZ,Arizona,other phd,95
1984,AZ,Arizona,sped phd,7
1984,AZ,Arizona,stem phd,0
1984,AZ,Arizona,agg total,177371
1984,AZ,Arizona,ba total,1144
1984,AZ,Arizona,elem total,750
1984,AZ,Arizona,ma total,1210
1984,AZ,Arizona,other total,1393
1984,AZ,Arizona,phd total,113
1984,AZ,Arizona,sped total,250
1984,AZ,Arizona,state total,2467
1984,AZ,Arizona,stem total,74
1984,CA, California,elem ba,908
1984,CA, California,other ba,1335
1984,CA, California,sped ba,4
1984,CA, California,stem ba,477
1984,CA, California,elem ma,51
1984,CA, California,other ma,5658
1984,CA, California,sped ma,337
1984,CA, California,stem ma,68
1984,CA, California,elem phd,0
1984,CA, California,other phd,480
1984,CA, California,sped phd,3
1984,CA, California,stem phd,0
1984,CA, California,agg total,177371
1984,CA, California,ba total,2724
1984,CA, California,elem total,959
1984,CA, California,ma total,6114
1984,CA, California,other total,7473
1984,CA, California,phd total,483
1984,CA, California,sped total,344
1984,CA, California,state total,9321
1984,CA, California,stem total,545
1984,CO,Colorado,elem ba,419
1984,CO,Colorado,other ba,428
1984,CO,Colorado,sped ba,107
1984,CO,Colorado,stem ba,75
1984,CO,Colorado,elem ma,84
1984,CO,Colorado,other ma,546
1984,CO,Colorado,sped ma,166
1984,CO,Colorado,stem ma,87
1984,CO,Colorado,elem phd,4
1984,CO,Colorado,other phd,106
1984,CO,Colorado,sped phd,8
1984,CO,Colorado,stem phd,12
1984,CO,Colorado,agg total,177371
1984,CO,Colorado,ba total,1029
1984,CO,Colorado,elem total,507
1984,CO,Colorado,ma total,883
1984,CO,Colorado,other total,1080
1984,CO,Colorado,phd total,130
1984,CO,Colorado,sped total,281
1984,CO,Colorado,state total,2042
1984,CO,Colorado,stem total,174
1984,CT,Connecticut,elem ba,320
1984,CT,Connecticut,other ba,223
1984,CT,Connecticut,sped ba,277
1984,CT,Connecticut,stem ba,15
1984,CT,Connecticut,elem ma,182
1984,CT,Connecticut,other ma,1153
1984,CT,Connecticut,sped ma,231
1984,CT,Connecticut,stem ma,102
1984,CT,Connecticut,elem phd,0
1984,CT,Connecticut,other phd,48
1984,CT,Connecticut,sped phd,7
1984,CT,Connecticut,stem phd,6
1984,CT,Connecticut,agg total,177371
1984,CT,Connecticut,ba total,835
1984,CT,Connecticut,elem total,502
1984,CT,Connecticut,ma total,1668
1984,CT,Connecticut,other total,1424
1984,CT,Connecticut,phd total,61
1984,CT,Connecticut,sped total,515
1984,CT,Connecticut,state total,2564
1984,CT,Connecticut,stem total,123
1984,DE,Delaware,elem ba,122
1984,DE,Delaware,other ba,123
1984,DE,Delaware,sped ba,21
1984,DE,Delaware,stem ba,3
1984,DE,Delaware,elem ma,0
1984,DE,Delaware,other ma,119
1984,DE,Delaware,sped ma,8
1984,DE,Delaware,stem ma,0
1984,DE,Delaware,elem phd,0
1984,DE,Delaware,other phd,0
1984,DE,Delaware,sped phd,0
1984,DE,Delaware,stem phd,0
1984,DE,Delaware,agg total,177371
1984,DE,Delaware,ba total,269
1984,DE,Delaware,elem total,122
1984,DE,Delaware,ma total,127
1984,DE,Delaware,other total,242
1984,DE,Delaware,phd total,0
1984,DE,Delaware,sped total,29
1984,DE,Delaware,state total,396
1984,DE,Delaware,stem total,3
1984,FL,Florida,elem ba,1222
1984,FL,Florida,other ba,1028
1984,FL,Florida,sped ba,404
1984,FL,Florida,stem ba,174
1984,FL,Florida,elem ma,334
1984,FL,Florida,other ma,1509
1984,FL,Florida,sped ma,242
1984,FL,Florida,stem ma,152
1984,FL,Florida,elem phd,2
1984,FL,Florida,other phd,425
1984,FL,Florida,sped phd,2
1984,FL,Florida,stem phd,27
1984,FL,Florida,agg total,177371
1984,FL,Florida,ba total,2828
1984,FL,Florida,elem total,1558
1984,FL,Florida,ma total,2237
1984,FL,Florida,other total,2962
1984,FL,Florida,phd total,456
1984,FL,Florida,sped total,648
1984,FL,Florida,state total,5521
1984,FL,Florida,stem total,353
1984,GA,Georgia,elem ba,868
1984,GA,Georgia,other ba,926
1984,GA,Georgia,sped ba,220
1984,GA,Georgia,stem ba,90
1984,GA,Georgia,elem ma,561
1984,GA,Georgia,other ma,1414
1984,GA,Georgia,sped ma,337
1984,GA,Georgia,stem ma,299
1984,GA,Georgia,elem phd,2
1984,GA,Georgia,other phd,110
1984,GA,Georgia,sped phd,12
1984,GA,Georgia,stem phd,27
1984,GA,Georgia,agg total,177371
1984,GA,Georgia,ba total,2104
1984,GA,Georgia,elem total,1431
1984,GA,Georgia,ma total,2611
1984,GA,Georgia,other total,2450
1984,GA,Georgia,phd total,151
1984,GA,Georgia,sped total,569
1984,GA,Georgia,state total,4866
1984,GA,Georgia,stem total,416
1984,HI,Hawaii,elem ba,37
1984,HI,Hawaii,other ba,181
1984,HI,Hawaii,sped ba,0
1984,HI,Hawaii,stem ba,20
1984,HI,Hawaii,elem ma,30
1984,HI,Hawaii,other ma,135
1984,HI,Hawaii,sped ma,22
1984,HI,Hawaii,stem ma,10
1984,HI,Hawaii,elem phd,0
1984,HI,Hawaii,other phd,3
1984,HI,Hawaii,sped phd,0
1984,HI,Hawaii,stem phd,0
1984,HI,Hawaii,agg total,177371
1984,HI,Hawaii,ba total,238
1984,HI,Hawaii,elem total,67
1984,HI,Hawaii,ma total,197
1984,HI,Hawaii,other total,319
1984,HI,Hawaii,phd total,3
1984,HI,Hawaii,sped total,22
1984,HI,Hawaii,state total,438
1984,HI,Hawaii,stem total,30
1984,IA,Iowa,elem ba,963
1984,IA,Iowa,other ba,756
1984,IA,Iowa,sped ba,114
1984,IA,Iowa,stem ba,98
1984,IA,Iowa,elem ma,33
1984,IA,Iowa,other ma,480
1984,IA,Iowa,sped ma,94
1984,IA,Iowa,stem ma,43
1984,IA,Iowa,elem phd,1
1984,IA,Iowa,other phd,121
1984,IA,Iowa,sped phd,7
1984,IA,Iowa,stem phd,16
1984,IA,Iowa,agg total,177371
1984,IA,Iowa,ba total,1931
1984,IA,Iowa,elem total,997
1984,IA,Iowa,ma total,650
1984,IA,Iowa,other total,1357
1984,IA,Iowa,phd total,145
1984,IA,Iowa,sped total,215
1984,IA,Iowa,state total,2726
1984,IA,Iowa,stem total,157
1984,ID,Idaho,elem ba,252
1984,ID,Idaho,other ba,194
1984,ID,Idaho,sped ba,14
1984,ID,Idaho,stem ba,43
1984,ID,Idaho,elem ma,44
1984,ID,Idaho,other ma,167
1984,ID,Idaho,sped ma,12
1984,ID,Idaho,stem ma,17
1984,ID,Idaho,elem phd,0
1984,ID,Idaho,other phd,14
1984,ID,Idaho,sped phd,0
1984,ID,Idaho,stem phd,0
1984,ID,Idaho,agg total,177371
1984,ID,Idaho,ba total,503
1984,ID,Idaho,elem total,296
1984,ID,Idaho,ma total,240
1984,ID,Idaho,other total,375
1984,ID,Idaho,phd total,14
1984,ID,Idaho,sped total,26
1984,ID,Idaho,state total,757
1984,ID,Idaho,stem total,60
1984,IL,Illinois,elem ba,1741
1984,IL,Illinois,other ba,1538
1984,IL,Illinois,sped ba,872
1984,IL,Illinois,stem ba,564
1984,IL,Illinois,elem ma,447
1984,IL,Illinois,other ma,2430
1984,IL,Illinois,sped ma,507
1984,IL,Illinois,stem ma,197
1984,IL,Illinois,elem phd,6
1984,IL,Illinois,other phd,273
1984,IL,Illinois,sped phd,11
1984,IL,Illinois,stem phd,30
1984,IL,Illinois,agg total,177371
1984,IL,Illinois,ba total,4715
1984,IL,Illinois,elem total,2194
1984,IL,Illinois,ma total,3581
1984,IL,Illinois,other total,4241
1984,IL,Illinois,phd total,320
1984,IL,Illinois,sped total,1390
1984,IL,Illinois,state total,8616
1984,IL,Illinois,stem total,791
1984,IN,Indiana,elem ba,1230
1984,IN,Indiana,other ba,693
1984,IN,Indiana,sped ba,208
1984,IN,Indiana,stem ba,146
1984,IN,Indiana,elem ma,741
1984,IN,Indiana,other ma,1282
1984,IN,Indiana,sped ma,191
1984,IN,Indiana,stem ma,154
1984,IN,Indiana,elem phd,11
1984,IN,Indiana,other phd,154
1984,IN,Indiana,sped phd,4
1984,IN,Indiana,stem phd,29
1984,IN,Indiana,agg total,177371
1984,IN,Indiana,ba total,2277
1984,IN,Indiana,elem total,1982
1984,IN,Indiana,ma total,2368
1984,IN,Indiana,other total,2129
1984,IN,Indiana,phd total,198
1984,IN,Indiana,sped total,403
1984,IN,Indiana,state total,4843
1984,IN,Indiana,stem total,329
1984,KS,Kansas,elem ba,848
1984,KS,Kansas,other ba,670
1984,KS,Kansas,sped ba,10
1984,KS,Kansas,stem ba,110
1984,KS,Kansas,elem ma,136
1984,KS,Kansas,other ma,695
1984,KS,Kansas,sped ma,139
1984,KS,Kansas,stem ma,43
1984,KS,Kansas,elem phd,0
1984,KS,Kansas,other phd,122
1984,KS,Kansas,sped phd,11
1984,KS,Kansas,stem phd,7
1984,KS,Kansas,agg total,177371
1984,KS,Kansas,ba total,1638
1984,KS,Kansas,elem total,984
1984,KS,Kansas,ma total,1013
1984,KS,Kansas,other total,1487
1984,KS,Kansas,phd total,140
1984,KS,Kansas,sped total,160
1984,KS,Kansas,state total,2791
1984,KS,Kansas,stem total,160
1984,KY,Kentucky,elem ba,858
1984,KY,Kentucky,other ba,517
1984,KY,Kentucky,sped ba,202
1984,KY,Kentucky,stem ba,111
1984,KY,Kentucky,elem ma,554
1984,KY,Kentucky,other ma,855
1984,KY,Kentucky,sped ma,164
1984,KY,Kentucky,stem ma,46
1984,KY,Kentucky,elem phd,0
1984,KY,Kentucky,other phd,25
1984,KY,Kentucky,sped phd,4
1984,KY,Kentucky,stem phd,1
1984,KY,Kentucky,agg total,177371
1984,KY,Kentucky,ba total,1688
1984,KY,Kentucky,elem total,1412
1984,KY,Kentucky,ma total,1619
1984,KY,Kentucky,other total,1397
1984,KY,Kentucky,phd total,30
1984,KY,Kentucky,sped total,370
1984,KY,Kentucky,state total,3337
1984,KY,Kentucky,stem total,158
1984,LA,Louisiana,elem ba,852
1984,LA,Louisiana,other ba,696
1984,LA,Louisiana,sped ba,125
1984,LA,Louisiana,stem ba,79
1984,LA,Louisiana,elem ma,329
1984,LA,Louisiana,other ma,1048
1984,LA,Louisiana,sped ma,167
1984,LA,Louisiana,stem ma,44
1984,LA,Louisiana,elem phd,5
1984,LA,Louisiana,other phd,22
1984,LA,Louisiana,sped phd,3
1984,LA,Louisiana,stem phd,3
1984,LA,Louisiana,agg total,177371
1984,LA,Louisiana,ba total,1752
1984,LA,Louisiana,elem total,1186
1984,LA,Louisiana,ma total,1588
1984,LA,Louisiana,other total,1766
1984,LA,Louisiana,phd total,33
1984,LA,Louisiana,sped total,295
1984,LA,Louisiana,state total,3373
1984,LA,Louisiana,stem total,126
1984,MA,Massachusetts,elem ba,705
1984,MA,Massachusetts,other ba,981
1984,MA,Massachusetts,sped ba,332
1984,MA,Massachusetts,stem ba,62
1984,MA,Massachusetts,elem ma,161
1984,MA,Massachusetts,other ma,1678
1984,MA,Massachusetts,sped ma,414
